Name,Email,Age,"Feeling nervous, anxious or on edge",Not being able to stop or control worrying,Worrying too much about different things,Trouble relaxing,Being so restless that it is hard to sit still,Becoming easily annoyed or irritable,Feeling afraid as if something awful might happen,Feeling tired or having little energy,Poor appetite or overeating,Feeling bad about yourself—or that you are a failure,Trouble concentrating on things,Moving or speaking so slowly that other people could have noticed,Thoughts that you would be better off dead or of hurting yourself in some way,Anxiety_Score,Stress_Score,Anxiety_Level,Stress_Level
Lisa Cordova,hhunter@example.org,17,More than half the days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,More than half the days,Not at all,Nearly every day,Nearly every day,Not at all,2,5,Low,Low
Gina Jenkins,robertgonzalez@example.com,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,More than half the days,Several days,Several days,More than half the days,Several days,0,5,Low,Low
Elizabeth Miller,alexmcclain@example.com,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,0,4,Low,Low
Cynthia Miranda,jerrywright@example.org,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,More than half the days,Several days,Not at all,More than half the days,Not at all,0,3,Low,Low
Stacy Woods,amanda90@example.net,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Nearly every day,Not at all,Several days,More than half the days,Nearly every day,0,5,Low,Low
Alisha Scott,elizabethyoung@example.org,21,More than half the days,Several days,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Several days,Not at all,Several days,Nearly every day,Not at all,4,5,Low,Low
Kristina Fischer,ppayne@example.org,18,More than half the days,Not at all,More than half the days,Not at all,Not at all,Not at all,Several days,Several days,Nearly every day,Nearly every day,Not at all,Not at all,Nearly every day,5,0,Low,Low
Mike Roberts,andrea50@example.net,21,More than half the days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Several days,More than half the days,Not at all,Several days,More than half the days,2,2,Low,Low
Janet Riley,smithcassandra@example.com,17,Not at all,Several days,Not at all,Several days,Several days,Several days,Not at all,Nearly every day,More than half the days,Not at all,Not at all,Not at all,Several days,4,1,Low,Low
Jennifer Burnett,kevin04@example.net,20,Several days,Not at all,Not at all,Not at all,Several days,Several days,Not at all,Several days,Several days,Nearly every day,Not at all,Several days,More than half the days,3,5,Low,Low
Laura Robbins,anorton@example.com,17,Several days,Not at all,More than half the days,Several days,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Nearly every day,Nearly every day,Nearly every day,4,5,Low,Low
Ashley Hall,shelby53@example.com,21,Not at all,Not at all,Several days,Several days,Several days,Not at all,Not at all,Not at all,Not at all,Nearly every day,Not at all,Not at all,Several days,3,5,Low,Low
Stephanie Shelton,lturner@example.net,17,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,More than half the days,Nearly every day,Nearly every day,Not at all,0,1,Low,Low
Olivia Bell,cynthiajohnson@example.com,21,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,More than half the days,Several days,Nearly every day,More than half the days,Nearly every day,Not at all,Not at all,3,1,Low,Low
Valerie Anderson,copelandkevin@example.com,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Nearly every day,Several days,Not at all,Not at all,More than half the days,0,1,Low,Low
Denise Clark,dpowell@example.net,20,More than half the days,More than half the days,Not at all,Not at all,Not at all,Several days,Not at all,More than half the days,Several days,Nearly every day,Not at all,Nearly every day,Several days,5,0,Low,Low
Anthony Avila,lisacrawford@example.com,19,Not at all,Not at all,Not at all,Nearly every day,Not at all,Several days,Not at all,Nearly every day,Nearly every day,More than half the days,More than half the days,Several days,Not at all,4,4,Low,Low
Kimberly Noble,miguelmurray@example.com,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,Several days,Nearly every day,Several days,0,2,Low,Low
Gina Salinas,rodriguezrobert@example.com,21,Not at all,Not at all,Not at all,More than half the days,Not at all,More than half the days,Not at all,Several days,Several days,Nearly every day,Not at all,Nearly every day,Nearly every day,4,2,Low,Low
Terri Sanchez,walkerderek@example.com,20,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Not at all,Not at all,Not at all,Nearly every day,Not at all,Not at all,More than half the days,2,4,Low,Low
Kristen Robinson,qfoster@example.org,20,Not at all,Not at all,Several days,More than half the days,Not at all,Not at all,Several days,Not at all,More than half the days,More than half the days,Several days,Several days,Several days,4,1,Low,Low
Alexander Wilson,rhondacannon@example.com,18,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Nearly every day,1,0,Low,Low
Michael Peters,mcdowellapril@example.com,17,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Several days,Several days,Several days,Several days,Several days,Not at all,Nearly every day,3,5,Low,Low
Sophia Singleton,williamsmonica@example.com,20,Not at all,Not at all,Several days,Several days,Not at all,Several days,Several days,More than half the days,Not at all,More than half the days,Nearly every day,Several days,More than half the days,4,0,Low,Low
Brian Navarro,millereric@example.org,20,Several days,Several days,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Several days,More than half the days,Not at all,Several days,Not at all,3,4,Low,Low
Connie Gross,pjohnson@example.com,19,Several days,Not at all,Not at all,Several days,Not at all,More than half the days,Not at all,Several days,Nearly every day,Nearly every day,Several days,More than half the days,Several days,4,4,Low,Low
Nicole Diaz,justin33@example.net,17,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,More than half the days,Not at all,Not at all,1,2,Low,Low
Dr. Sarah Hall,christopher69@example.org,20,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,More than half the days,Nearly every day,Nearly every day,Several days,More than half the days,0,5,Low,Low
Jamie Perry,lcastro@example.org,20,Not at all,Several days,Several days,More than half the days,Not at all,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Not at all,Nearly every day,More than half the days,4,1,Low,Low
Bridget Mendoza,oking@example.org,19,Several days,Not at all,Not at all,Several days,Several days,Not at all,Several days,Not at all,Several days,Nearly every day,Nearly every day,More than half the days,More than half the days,4,1,Low,Low
Christopher Montgomery,leonardtate@example.com,17,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Several days,Not at all,Not at all,Not at all,Several days,1,5,Low,Low
Crystal Owens,collinsmelissa@example.org,19,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,More than half the days,Nearly every day,Not at all,More than half the days,Nearly every day,0,3,Low,Low
Michelle Flores,raymond42@example.net,19,Several days,Not at all,Not at all,Several days,Several days,Not at all,Not at all,Not at all,Several days,Several days,Not at all,Several days,Several days,3,2,Low,Low
Kevin Robinson,thomas79@example.net,17,Not at all,Not at all,More than half the days,Several days,Several days,Not at all,Not at all,More than half the days,More than half the days,Nearly every day,Not at all,Nearly every day,Nearly every day,4,1,Low,Low
Matthew Anderson,tyler26@example.org,20,More than half the days,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Several days,Nearly every day,Nearly every day,3,4,Low,Low
Ariana Gardner,michelle30@example.net,21,Several days,Not at all,Not at all,More than half the days,Not at all,Several days,Not at all,Nearly every day,Several days,Nearly every day,Not at all,More than half the days,Several days,4,2,Low,Low
Carolyn Watson,plyons@example.net,21,Not at all,Not at all,Several days,More than half the days,Not at all,Not at all,Several days,Not at all,Nearly every day,Not at all,More than half the days,Nearly every day,Not at all,4,5,Low,Low
Cynthia Thomas,briggschristine@example.net,21,Several days,Not at all,Several days,More than half the days,Not at all,Not at all,Not at all,Nearly every day,Several days,Nearly every day,Several days,More than half the days,Nearly every day,4,1,Low,Low
Aimee Hudson,kdelacruz@example.com,20,Not at all,Several days,Not at all,Several days,Not at all,Not at all,Several days,Several days,Not at all,Not at all,More than half the days,More than half the days,Not at all,3,4,Low,Low
Kevin Rocha,henrydeborah@example.net,18,Not at all,Not at all,Nearly every day,Several days,Not at all,Not at all,Not at all,Nearly every day,Several days,Not at all,Not at all,Not at all,More than half the days,4,3,Low,Low
Tammy Willis,jamiemueller@example.org,20,Not at all,Not at all,Not at all,Several days,More than half the days,Not at all,Not at all,Several days,Several days,More than half the days,More than half the days,More than half the days,More than half the days,3,4,Low,Low
Tammy Brown,katherinedawson@example.net,20,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Not at all,Not at all,More than half the days,Several days,Several days,1,1,Low,Low
Taylor Burch,clarkcatherine@example.net,19,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Not at all,Not at all,Several days,0,5,Low,Low
Amy Romero,jenniferorr@example.org,21,Several days,More than half the days,Not at all,Not at all,Not at all,Several days,Several days,Not at all,Nearly every day,More than half the days,More than half the days,Several days,Not at all,5,0,Low,Low
Marcus Pena,christinarodriguez@example.com,20,Not at all,More than half the days,Not at all,Several days,Not at all,More than half the days,Not at all,Several days,More than half the days,More than half the days,More than half the days,Nearly every day,Nearly every day,5,3,Low,Low
Matthew Taylor,flam@example.org,17,Not at all,Not at all,Not at all,More than half the days,Not at all,Nearly every day,Not at all,Nearly every day,More than half the days,Nearly every day,More than half the days,Not at all,Several days,5,3,Low,Low
Robert Moore,sarah84@example.net,17,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Several days,Several days,Nearly every day,More than half the days,1,5,Low,Low
Allison Coleman,davidhernandez@example.net,18,Not at all,Not at all,Not at all,Several days,More than half the days,Several days,Several days,Nearly every day,Several days,Nearly every day,Not at all,More than half the days,Nearly every day,5,5,Low,Low
Angela Reid,phillipstyler@example.net,19,Several days,Not at all,Not at all,Not at all,Several days,Several days,Not at all,Several days,Not at all,More than half the days,Not at all,More than half the days,Nearly every day,3,1,Low,Low
Tiffany Barnett,dana81@example.com,20,More than half the days,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,More than half the days,Several days,Nearly every day,Nearly every day,Not at all,More than half the days,3,4,Low,Low
Jamie Carney,walkercameron@example.net,17,More than half the days,Not at all,Not at all,Several days,Several days,Not at all,Not at all,Several days,Several days,Not at all,Not at all,Nearly every day,Several days,4,3,Low,Low
Aimee Shelton,jennifer81@example.com,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Nearly every day,Not at all,More than half the days,Not at all,0,0,Low,Low
William Rojas,fitzpatrickrachael@example.com,19,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,Nearly every day,Several days,Not at all,Several days,Nearly every day,More than half the days,2,4,Low,Low
Katie Gill,tranjeffery@example.com,19,Not at all,Several days,Not at all,Not at all,Not at all,Several days,Not at all,Nearly every day,Not at all,Not at all,More than half the days,Nearly every day,Several days,2,2,Low,Low
Anna Gonzalez,grantkevin@example.org,18,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not at all,Nearly every day,0,2,Low,Low
Daniel Collins,jeffrey81@example.org,21,Not at all,Not at all,Several days,Not at all,Not at all,Nearly every day,Not at all,Nearly every day,More than half the days,Nearly every day,Not at all,More than half the days,More than half the days,4,2,Low,Low
Adam Pollard,crystalwilliams@example.org,17,Several days,Not at all,Not at all,Not at all,Several days,More than half the days,Not at all,More than half the days,Nearly every day,Several days,More than half the days,More than half the days,Nearly every day,4,5,Low,Low
Molly Rodriguez,brownjuan@example.net,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,More than half the days,Several days,Not at all,Several days,Several days,0,5,Low,Low
Ryan Reed,penny15@example.net,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Not at all,Several days,More than half the days,0,4,Low,Low
Michael Escobar,martinward@example.org,17,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Several days,Nearly every day,More than half the days,1,4,Low,Low
Megan Wiggins,janicetravis@example.com,18,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Nearly every day,Several days,Not at all,More than half the days,Nearly every day,More than half the days,2,4,Low,Low
Jordan Crawford,rickyhays@example.com,19,Several days,Not at all,More than half the days,Not at all,More than half the days,Not at all,Not at all,Not at all,Not at all,More than half the days,More than half the days,Several days,Several days,5,4,Low,Low
Amanda Summers,kathleenli@example.com,18,Not at all,Not at all,Several days,Several days,Not at all,Not at all,Not at all,Nearly every day,More than half the days,Not at all,More than half the days,More than half the days,Several days,2,1,Low,Low
Deanna Nelson,taylorelizabeth@example.org,19,Several days,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,Not at all,Several days,Several days,Nearly every day,Several days,More than half the days,3,5,Low,Low
Henry Mills,smithkaren@example.com,17,Not at all,Not at all,Not at all,Not at all,More than half the days,Several days,Not at all,Nearly every day,Nearly every day,Not at all,Not at all,More than half the days,Nearly every day,3,5,Low,Low
Robert Riley,coreycrawford@example.org,21,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,More than half the days,Nearly every day,Not at all,More than half the days,Nearly every day,Several days,1,2,Low,Low
James Johnson,qbaxter@example.org,20,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,Not at all,Several days,Several days,Several days,1,2,Low,Low
Taylor Jones,michaelshelton@example.com,18,Not at all,Not at all,Not at all,Several days,More than half the days,Several days,Not at all,Nearly every day,Several days,More than half the days,Not at all,Not at all,Not at all,4,3,Low,Low
Christopher Harvey,david54@example.net,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,More than half the days,Not at all,More than half the days,Several days,Not at all,More than half the days,1,2,Low,Low
Sarah Schwartz,bennettlisa@example.org,21,Several days,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Several days,Not at all,Not at all,Nearly every day,2,3,Low,Low
Emily Green,miguel92@example.net,18,Several days,Not at all,Not at all,Not at all,More than half the days,Not at all,Several days,More than half the days,More than half the days,Not at all,More than half the days,Not at all,Several days,4,4,Low,Low
Jennifer Bradshaw,ian39@example.com,20,Not at all,More than half the days,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Nearly every day,More than half the days,Several days,More than half the days,Not at all,3,5,Low,Low
Jose Blake,johnsonlorraine@example.net,19,Several days,Not at all,Several days,Not at all,Several days,Not at all,Not at all,Several days,More than half the days,Several days,Nearly every day,Nearly every day,Several days,3,2,Low,Low
Matthew Jones,kmaldonado@example.org,19,Not at all,Several days,Not at all,Not at all,Several days,Several days,Not at all,Not at all,Not at all,Several days,Nearly every day,Several days,More than half the days,3,2,Low,Low
Brandon Guzman,sydneywinters@example.com,20,Not at all,Several days,Not at all,Not at all,Several days,Not at all,Not at all,More than half the days,Several days,Nearly every day,Nearly every day,Several days,Nearly every day,2,5,Low,Low
Devin Singh,jeffery66@example.org,21,Several days,Not at all,Not at all,Not at all,Nearly every day,Not at all,Not at all,Not at all,More than half the days,Not at all,Nearly every day,More than half the days,More than half the days,4,2,Low,Low
George Ball,vphillips@example.com,21,Several days,Several days,Not at all,Not at all,Not at all,More than half the days,Not at all,Several days,More than half the days,Nearly every day,Nearly every day,Nearly every day,Not at all,4,2,Low,Low
Danny Ramirez,jmurray@example.org,19,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,More than half the days,Several days,Nearly every day,Not at all,More than half the days,Not at all,4,0,Low,Low
Bonnie Walton,vdouglas@example.com,19,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Nearly every day,Nearly every day,Several days,0,0,Low,Low
Susan Khan,jonathan50@example.com,20,Not at all,Several days,More than half the days,Not at all,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Not at all,Not at all,Nearly every day,More than half the days,3,4,Low,Low
Brian Sparks,parkersherry@example.org,18,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,Several days,More than half the days,Several days,Several days,0,1,Low,Low
Mark Hernandez,uarias@example.net,18,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,More than half the days,Not at all,Not at all,More than half the days,More than half the days,0,5,Low,Low
Allison Nolan,howardadam@example.com,19,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Nearly every day,Not at all,Several days,Not at all,Not at all,Nearly every day,1,1,Low,Low
Kelly Ramos,audreyrivera@example.net,17,Nearly every day,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Several days,Several days,Not at all,Nearly every day,4,3,Low,Low
Victoria Austin,crodriguez@example.org,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Nearly every day,More than half the days,Not at all,More than half the days,0,4,Low,Low
Joshua Wells,ymills@example.net,19,Not at all,Not at all,More than half the days,Several days,Not at all,Several days,Not at all,Several days,Nearly every day,Not at all,More than half the days,Several days,Nearly every day,4,4,Low,Low
Brenda Davis,crodriguez@example.net,21,Not at all,Several days,Not at all,Several days,Not at all,Not at all,Not at all,Nearly every day,More than half the days,Nearly every day,More than half the days,Several days,Several days,2,3,Low,Low
Victoria Fischer,ncochran@example.com,17,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,More than half the days,Not at all,Nearly every day,Not at all,More than half the days,More than half the days,Nearly every day,3,5,Low,Low
Lisa Chavez,aford@example.net,18,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Several days,More than half the days,Nearly every day,More than half the days,Nearly every day,Several days,3,5,Low,Low
Jocelyn Peterson,marymartinez@example.net,21,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Nearly every day,Several days,Not at all,Nearly every day,1,0,Low,Low
Steven Smith,tiffany26@example.net,18,Not at all,Not at all,Not at all,Several days,Not at all,More than half the days,Not at all,More than half the days,Not at all,More than half the days,More than half the days,Not at all,Nearly every day,3,3,Low,Low
Judy Romero,christopher83@example.org,17,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,More than half the days,More than half the days,Not at all,Nearly every day,Several days,0,1,Low,Low
Anna Holt,obolton@example.net,21,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,More than half the days,More than half the days,Nearly every day,More than half the days,Nearly every day,Several days,1,2,Low,Low
Lee Stein,allensilva@example.org,20,Not at all,Several days,Several days,Not at all,Several days,Not at all,Not at all,Nearly every day,Several days,Not at all,Nearly every day,More than half the days,Not at all,3,3,Low,Low
Eric Kennedy DDS,jermainetaylor@example.com,19,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Not at all,More than half the days,Several days,Nearly every day,Not at all,Nearly every day,More than half the days,3,0,Low,Low
Angela Hester,codyjohnson@example.com,19,Not at all,Not at all,Several days,Not at all,Several days,Several days,More than half the days,Nearly every day,Nearly every day,Several days,Not at all,Several days,Several days,5,4,Low,Low
Amanda Thomas DVM,tiffanydickson@example.com,19,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,More than half the days,Nearly every day,Several days,More than half the days,Nearly every day,1,0,Low,Low
Kelly Garcia,fernandezrhonda@example.com,20,Not at all,Nearly every day,Several days,Not at all,Not at all,Not at all,Several days,Nearly every day,Several days,Nearly every day,Several days,More than half the days,More than half the days,5,5,Low,Low
Christopher Hill,kmunoz@example.net,18,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Nearly every day,Not at all,Nearly every day,More than half the days,Not at all,Nearly every day,1,3,Low,Low
Danielle Garcia,kingheather@example.org,19,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,More than half the days,Several days,Several days,Not at all,Nearly every day,0,3,Low,Low
Joel Crane,millerjoseph@example.com,17,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Nearly every day,Not at all,Several days,Not at all,Not at all,Nearly every day,3,2,Low,Low
Jay Williams,raymondmarshall@example.org,18,Nearly every day,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Several days,More than half the days,Nearly every day,Nearly every day,Several days,Nearly every day,5,0,Low,Low
Kayla Williams,nataliemorales@example.com,18,Several days,Several days,Not at all,Not at all,Not at all,Not at all,Nearly every day,Several days,Not at all,Nearly every day,Several days,Several days,Nearly every day,5,1,Low,Low
Emily Acevedo,townsendjoseph@example.com,21,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,Not at all,Nearly every day,Several days,Several days,Not at all,Nearly every day,More than half the days,2,0,Low,Low
Cheryl Nelson,lori78@example.net,17,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Several days,Not at all,Nearly every day,Not at all,Not at all,Not at all,1,2,Low,Low
Mathew Hill,qstokes@example.org,20,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Not at all,Not at all,Not at all,Nearly every day,More than half the days,Not at all,Nearly every day,3,5,Low,Low
Sherry Johnson,wesleymolina@example.org,20,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,More than half the days,Several days,Several days,Several days,Nearly every day,More than half the days,1,0,Low,Low
Charles Kelly,evanslouis@example.com,20,Several days,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,More than half the days,Nearly every day,Not at all,Not at all,2,2,Low,Low
Hannah Guerrero,reynoldsshannon@example.org,18,Several days,Several days,Several days,Not at all,Not at all,Not at all,Several days,More than half the days,Not at all,Nearly every day,Several days,More than half the days,Several days,4,4,Low,Low
Lauren Rivera,andreapark@example.org,17,Not at all,Not at all,Several days,Several days,Not at all,Several days,More than half the days,Several days,More than half the days,Several days,More than half the days,More than half the days,Several days,5,3,Low,Low
Kevin Savage,matthewstone@example.net,19,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Several days,More than half the days,More than half the days,More than half the days,Not at all,Nearly every day,2,3,Low,Low
Kimberly Richard,charles67@example.com,18,Not at all,Not at all,Not at all,Not at all,Several days,More than half the days,Not at all,Not at all,Not at all,Not at all,More than half the days,More than half the days,Not at all,3,0,Low,Low
Sherri Jackson,petersondaniel@example.com,20,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Several days,More than half the days,More than half the days,Several days,Nearly every day,0,1,Low,Low
Matthew White,sdeleon@example.com,19,More than half the days,Not at all,Not at all,Several days,Not at all,Several days,Several days,Nearly every day,Several days,Several days,Not at all,Not at all,More than half the days,5,4,Low,Low
Amber Randall,kwhite@example.org,19,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Not at all,Nearly every day,Not at all,Nearly every day,More than half the days,1,4,Low,Low
Leslie Whitaker,stevenwilson@example.org,20,Not at all,Not at all,Several days,Not at all,Not at all,More than half the days,Not at all,Not at all,Nearly every day,More than half the days,More than half the days,Nearly every day,Several days,3,4,Low,Low
Steven Russell,gerald63@example.org,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Nearly every day,Nearly every day,More than half the days,Nearly every day,Nearly every day,More than half the days,1,3,Low,Low
Chris Gibbs,xjohnson@example.org,18,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Not at all,Nearly every day,Nearly every day,Nearly every day,More than half the days,1,1,Low,Low
Aaron Huang,tamara67@example.org,21,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,More than half the days,More than half the days,Not at all,Not at all,More than half the days,1,2,Low,Low
Bradley King,amandalong@example.net,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Several days,Not at all,Several days,Several days,Several days,0,5,Low,Low
Brian Berger,mike95@example.net,20,Not at all,Not at all,More than half the days,Several days,Several days,Not at all,Not at all,More than half the days,Several days,More than half the days,Nearly every day,Nearly every day,More than half the days,4,4,Low,Low
Elizabeth Ross,dhill@example.com,18,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Several days,0,2,Low,Low
Joseph Davies,krystalkent@example.org,20,Not at all,Not at all,Several days,Several days,More than half the days,Not at all,Not at all,Nearly every day,Several days,More than half the days,Several days,Nearly every day,Several days,4,4,Low,Low
Margaret Jones,ikelly@example.net,20,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Not at all,Several days,Several days,More than half the days,More than half the days,1,0,Low,Low
Bridget Cameron,rodriguezjessica@example.org,18,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Nearly every day,Several days,Nearly every day,More than half the days,Nearly every day,More than half the days,1,3,Low,Low
Nichole Skinner,anthonyvasquez@example.net,21,Not at all,Nearly every day,Not at all,More than half the days,Not at all,Not at all,Not at all,More than half the days,Several days,Nearly every day,More than half the days,Nearly every day,Several days,5,4,Low,Low
Eduardo Jones,jacksonjose@example.org,17,Not at all,More than half the days,Not at all,Not at all,Several days,Not at all,Not at all,Nearly every day,Nearly every day,Not at all,Nearly every day,Nearly every day,More than half the days,3,0,Low,Low
Meghan Vazquez,brandykennedy@example.org,18,Not at all,Not at all,Several days,Not at all,Several days,Not at all,Nearly every day,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,5,0,Low,Low
Stephanie Davis,jeffreydavis@example.org,17,Several days,Not at all,Not at all,Nearly every day,Not at all,Not at all,Several days,Several days,Several days,Several days,Several days,Nearly every day,Nearly every day,5,0,Low,Low
Kristi Hill,boydapril@example.org,19,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,More than half the days,More than half the days,Several days,Nearly every day,Not at all,More than half the days,1,3,Low,Low
Stephanie Garcia,robert07@example.net,21,Not at all,Not at all,Several days,Several days,Not at all,Not at all,Not at all,Nearly every day,Not at all,More than half the days,Nearly every day,Several days,Several days,2,5,Low,Low
Savannah Howard,afrazier@example.net,20,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Several days,Several days,More than half the days,Nearly every day,Not at all,0,2,Low,Low
Matthew Strong,sjenkins@example.org,18,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Not at all,Not at all,Not at all,Several days,1,5,Low,Low
Christopher Castillo,shelby31@example.net,19,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Several days,2,1,Low,Low
Scott Chase,hernandezlisa@example.net,17,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,More than half the days,Several days,More than half the days,Nearly every day,1,5,Low,Low
William Taylor,jameswarren@example.com,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Not at all,Several days,Several days,Several days,Several days,0,1,Low,Low
Nicole Martinez,pamela83@example.org,18,Not at all,Not at all,More than half the days,Not at all,Not at all,Several days,Several days,Nearly every day,Several days,Nearly every day,More than half the days,Not at all,More than half the days,4,4,Low,Low
Linda Bell,april88@example.org,21,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,More than half the days,Nearly every day,Nearly every day,Not at all,Not at all,1,3,Low,Low
Patrick Shaw,fosteranna@example.net,18,Not at all,Not at all,More than half the days,Not at all,More than half the days,Not at all,Not at all,More than half the days,More than half the days,More than half the days,Nearly every day,Not at all,Not at all,4,4,Low,Low
Brandy Hobbs,tyoder@example.com,17,Not at all,Not at all,Not at all,More than half the days,Several days,More than half the days,Not at all,Nearly every day,More than half the days,Nearly every day,Several days,Nearly every day,Not at all,5,1,Low,Low
